company_name,tagline,review_rating,review_count,country,region,region_code,employees,rates,phone,logo_img_link
Materiell,Award Winning Design | Enterprise WP Development,4.9,6,,"Arlington,",VA,10 - 49,$100 - $149,703.243.9207,//static1.clutch.co/sites/default/files/styles/logo_small/public/logos/materiell-mark.png?itok=ePudiASf
Velocity Partners,World-leading Nearshore Software Development,4.7,4,,"Seattle,",WA,250 - 999,$25 - $49,425.454.2686,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/velocity_partners.png?itok=zi4Tcblo
Bright Interactive,"Software, applications and web development company",4.9,3,United Kingdom,"East Sussex,",,10 - 49,$100 - $149,+44 1273 923150,//static1.clutch.co/sites/default/files/styles/logo_small/public/logos/bi-ab-logo500.jpg?itok=8WUlVAp0
FlatStack,We bring great products to life.,5,2,,"New Orleans,",LA,50 - 249,$25 - $49,888.499.9352,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/flatstack_0.png?itok=IYELXuGy
Promet Source,Building better business with Drupal.,5,2,,"Chicago,",IL,10 - 49,$100 - $149,773.525.8255,//static1.clutch.co/sites/default/files/styles/logo_small/public/logos/promet_source_vertical.jpg?itok=uC-pZISr
Hudson Integrated Web Agency,Integrated Agency: Web. Mobile. Social. Search.,4.8,4,,"Saddle Brook,",NJ,10 - 49,$150 - $199,201.845.8700,//static1.clutch.co/sites/default/files/styles/logo_small/public/logos/icon-blue-gold_0.jpg?itok=0HBSEE6I
Perfectial,EMPOWER YOUR IDEAS,4.8,4,,"Wilmington,",DE,50 - 249,$25 - $49,800.274.6926,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/perfectial_square1.jpg?itok=ZGdjlIc9
Qulix Systems,software development and testing services,4.7,3,Belarus,"Minsk,",,50 - 249,$25 - $49,+375 17 306 3868,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/qulix_logo_250_px_3.jpg?itok=jPiR74tz
Vinsol,Transforming software dreams of brands & startups,4.5,3,India,"New Delhi,",,50 - 249,$25 - $49,91.11.4513.7031,//static1.clutch.co/sites/default/files/styles/logo_small/public/logos/vin_logo.png?itok=19g4Fdzj
Annertech,Annertech builds big websites for serious clients.,4.7,3,Ireland,"Dublin,",,10 - 49,$50 - $99,+35315240312,//static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-annertech-a-clutch.png?itok=yflPszfA
philosophie,Usable | Beautiful | Meaningful,5,2,,"Venice,",CA,10 - 49,$100 - $149,310.314.0011,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/philosophie.png?itok=egrM7ZF6
Palantir.net,We Create Engaging Online Experiences,4.4,4,,"Chicago,",IL,10 - 49,,773.645.4100,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/palantir.png?itok=Ay5lXR8S
GP software.travel,Travel Technology company,5,1,Germany,"Munich,",,50 - 249,$25 - $49,49.89.416.1523.30,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/gp_bright.png?itok=w42gzJlo
Trigent,"Enterprise Product, Software &  Mobile Development",4.9,3,,"Boston,",MA,250 - 999,$25 - $49,877-387-4436,//static2.clutch.co/sites/default/files/styles/logo_small/public/logos/trigent.png?itok=ztwYecIs
