company_name,tagline,review_rating,review_count,country,region,region_code,employees,rates,phone,logo_img_link,company_link,founded_at
Konstant Infosolutions,Web & Mobile App Development Company,4.9,22,India,"Jaipur,",,50 - 249,< $25,91.141.2291398,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_183px.jpg?itok=QdxgwCrp,http://www.konstantinfo.com,2003
PointClear Solutions,Healthcare Technology Re-Imagined,4.7,3,,"Atlanta,",GA,50 - 249,$100 - $149,470.223.4370,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/pointclear_rgb-web_logomark-square.png?itok=H7flSua-,http://www.pointclearsolutions.com,2006
Crystalnix Limited,We build mobile and cloud business applications,4.8,4,New Zealand,"Wellington,",,10 - 49,$50 - $99,64.210.226.3306,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/crystalnix_logo_c.png?itok=w2ugs2S7,http://crystalnix.com,2008
Belitsoft,Full cycle software development company,5,2,Belarus,"Minsk,",,50 - 249,$25 - $49,375.25.694.3677,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/belitsoft_logo_big.jpg?itok=Xy_As76T,http://www.Belitsoft.com,2004
Big Drop,We offer tailored website solutions,4.8,11,,"New York ,",NY,50 - 249,$100 - $149,212.858.9580,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/bigdrop_logo.jpg?itok=6g5rbyW6,http://bigdropinc.com/?utm_source=sourcingline,2011
Nine Hertz,7 Years of excellence in Mobile App Development,4.8,8,India,"Jaipur,",,10 - 49,< $25,+918947844954,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/nine_hertz_1.png?itok=dpCvV69J,http://theninehertz.com/?reffer=f7e6c85504ce6e82442c770f7c8606f0,2008
SIMpalm,Mobile App and Web Development Company,4.9,8,,"Silver Spring,",MD,10 - 49,,410.800.3973,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/3.png?itok=D0j64jGq,http://www.simpalm.com,2009
Digital Brand Group,Forward Thinking Applied,5,8,,"Irvine,",CA,50 - 249,$50 - $99,888-690-0060,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/digital-brand-group.png?itok=DhsIBDUR,http://digitalbrandgroup.com,2006
SteelKiwi Development,We make IT simple!,5,7,Ukraine,"Odessa,",,10 - 49,$25 - $49,38(099)447.4840,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/sk_logo_for_clutch_0.png?itok=A1OmnLuN,http://steelkiwi.com/,2011
Oxagile,Full-cycle software development company,4.3,7,,"New York,",NY,50 - 249,$25 - $49,+1 855 466 9244,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/oxa_logo_new.png?itok=A4p7Eo7Z,http://www.oxagile.com,2005
Clarity Ventures,Web Technology That Builds Businesses,5,3,,"Austin,",TX,10 - 49,$100 - $149,800.928.8160,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/clarity-logo.gif?itok=eKQkOSPS,http://www.clarity-ventures.com/portfolio,2006
Iflexion,Advanced Web Solutions & Enterprise Web Apps,4.6,5,,"Austin,",TX,50 - 249,$25 - $49,512.501.3621,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/_iflexion_ava_3_0.png?itok=xeY8hi6V,http://www.iflexion.com/,1999
Lullabot,Creating delightful interactive experiences,4.9,4,,"Providence,",RI,50 - 249,$200 - $300,877.585.5226,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/lullalogo_vertical.png?itok=Xr7guLvc,https://www.lullabot.com,2006
Artezio,The Art of Technology,5,2,,"Woburn,",MA,250 - 999,$25 - $49,617.202.3849,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/artezio.png?itok=9K4OEcPk,http://www.artezio.com/,2000
Riktam Technologies,Fast Turnaround. Experience developing 200+ apps,4.5,4,India,"Hyderabad,",,50 - 249,$25 - $49,91.40.66688305,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/forsourcingline3.png?itok=bODQE4nz,http://www.riktamtech.com,2007
SumatoSoft,Changing Business. For the Better.,4.8,5,Belarus,"Minsk,",,10 - 49,$25 - $49,+375(29)6255178,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/sumatosoft_logo2_0.png?itok=ke_SqKKq,http://sumatosoft.com/?utm_source=clutch.co&utm_medium=referral&utm_content=main%20website&utm_campaign=Clutch,2012
STX Next,100 Python developers. Limitless Python power.,4.9,11,Poland,"Poznań,",,50 - 249,$50 - $99,48.61.610.0192,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/stx_next.jpg?itok=1DyTGtJv,http://stxnext.com/#/en,2005
